"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,1,1,1,930000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1719","68","7",3,2
0,1,1,1,0,1,1,945000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1145","70","7",3,2
0,1,1,1,0,1,1,950000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1267","61","7",3,2
0,1,1,1,0,1,1,860000,2,5,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1673","68","7",3,2
0,1,1,1,0,1,1,880000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1288","56","7",3,1
0,0,1,1,0,1,1,950000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1406","83","7",3,2
0,1,1,1,0,1,1,1025000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1949","165","7",3,3
0,1,1,1,1,1,1,810007,1,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"950","74","7",3,2
0,1,1,1,0,1,1,970000,2,5,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"2265","75","7",3,2
0,1,1,0,0,1,1,830000,1,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1059","73","7",3,1
0,1,1,1,0,1,1,915000,3,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1443","69","7",3,3
0,1,1,1,0,1,1,810000,1,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1052","73","7",3,2
0,1,0,0,0,1,2,1038000,3,6,"Anaheim","346,824",15.2,88538,2,0,0,0,0,0,0,0,0,"2057","74","7",3,2
0,1,1,1,0,1,1,862000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1647","66","7",3,2
0,1,0,0,0,1,1,1099000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1591","116","7",3,3
0,1,1,1,0,1,1,900000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1593","66","7",3,2
0,1,1,0,0,1,1,860000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1488","70","7",3,1
0,1,1,1,0,1,2,950000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1938","56","7",3,2
0,0,0,0,0,0,1,820000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1355","69","7",3,2
0,1,1,1,0,1,1,1030000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2106","73","7",3,1
0,1,1,0,0,1,1,900000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1666","72","7",3,2
0,1,1,1,0,1,1,1082000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1436","71","7",3,3
